Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron,Note
2017-09-20,Breakfast,130.5,10.7,4.3,0.3,2.0,0.0,22.2,159.6,78.0,2.6,0.0,0.1,6.3,4.2,0.9,6.3,0.2,
2017-09-20,Lunch,295.6,21.1,6.9,1.7,2.8,0.0,53.8,1042.5,0.0,16.0,7.0,1.0,15.5,2.0,0.0,11.5,8.0,
2017-09-22,Breakfast,117.0,10.4,6.4,0.4,3.0,0.0,33.3,36.9,117.0,3.9,0.0,0.1,2.7,6.4,1.3,9.5,0.4,
2017-09-22,Lunch,110.0,1.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,3.0,2.0,0.5,24.0,0.0,0.0,0.0,0.0,
2017-11-21,Breakfast,310.8,24.0,11.6,2.0,8.0,0.0,414.3,368.1,272.6,4.5,0.0,0.3,19.5,19.6,1.3,27.3,9.0,
2017-12-05,Breakfast,117.0,10.4,6.4,0.4,3.0,0.0,33.3,36.9,117.0,3.9,0.0,0.1,2.7,6.4,1.3,9.5,0.4,
2017-12-05,Lunch,472.5,33.6,14.9,2.3,9.0,0.0,182.5,1372.5,225.0,5.1,0.5,2.0,29.5,4.0,0.0,19.0,4.5,
2018-01-03,Breakfast,377.0,26.9,20.4,0.4,3.0,0.0,33.3,181.9,117.0,10.9,4.0,2.6,32.7,6.4,1.3,11.5,4.4,
2018-01-03,Lunch,130.0,8.0,4.0,0.0,0.0,0.0,5.0,70.0,80.0,17.0,6.0,10.0,5.0,2.0,0.0,2.0,2.0,
2018-02-28,Breakfast,290.0,21.5,6.5,1.4,4.0,0.0,395.0,236.3,140.0,12.0,1.5,2.5,19.0,12.0,0.0,22.5,11.0,
2018-03-21,Breakfast,340.0,29.0,10.5,0.7,2.0,0.0,245.0,1255.0,70.0,1.5,0.0,0.0,16.5,6.0,45.0,2.0,7.0,
2018-03-21,Snacks,387.0,24.4,6.4,0.4,3.0,0.0,33.3,66.9,117.0,12.9,6.0,0.6,28.7,6.4,1.3,9.5,0.4,
2018-03-22,Lunch,623.3,51.0,14.0,4.0,1.7,0.0,88.3,1371.7,0.0,6.8,0.0,2.7,34.2,4.0,45.0,15.0,3.0,
2018-03-22,Snacks,160.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,
2018-03-26,Breakfast,618.3,53.7,21.0,0.7,2.0,0.0,295.0,2242.5,70.0,3.5,0.0,0.0,28.0,6.0,82.5,2.0,9.5,
2018-03-26,Snacks,210.0,7.0,5.0,1.0,1.0,0.0,5.0,140.0,85.0,22.0,9.0,1.0,20.0,0.0,0.0,10.0,2.0,
2018-03-29,Breakfast,634.5,51.2,9.2,0.2,1.5,0.0,126.7,733.5,58.5,22.7,3.5,4.6,19.2,103.2,0.7,5.7,21.2,
2018-04-02,Breakfast,515.0,35.0,15.0,0.7,2.0,0.0,235.0,1267.5,70.0,4.3,2.0,0.5,45.8,12.0,37.5,22.0,6.5,
2018-04-18,Breakfast,39.0,3.4,2.1,0.1,1.0,0.0,11.1,12.3,39.0,1.3,0.0,0.0,0.9,2.1,0.4,3.2,0.1,
2018-06-25,Breakfast,457.5,32.0,29.3,0.0,0.8,0.0,8.8,90.0,0.0,9.0,4.0,3.8,50.0,1.5,1.0,7.5,0.0,
2018-06-27,Breakfast,248.0,32.9,7.9,3.7,18.4,0.0,22.2,38.6,939.0,17.6,12.0,0.1,4.8,8.2,20.9,6.3,8.2,
2018-06-28,Breakfast,420.0,30.0,28.0,0.0,0.0,0.0,0.0,60.0,0.0,6.0,4.0,1.0,48.0,0.0,0.0,0.0,0.0,
2018-07-03,Breakfast,328.7,40.8,10.1,4.3,23.1,0.0,33.4,358.1,884.4,16.5,12.0,1.5,8.3,7.2,20.0,18.5,9.6,
